# Size, Avg Latency(us), Min Latency(us), Max Latency(us),Iterations
1,0.88, 0.67, 1.11,262144
2,1.05, 0.69, 1.51,262144
4,1.23, 0.88, 1.65,262144
8,1.30, 0.99, 1.67,262144
16,1.54, 1.20, 2.09,262144
32,2.28, 1.75, 2.93,262144
64,3.64, 2.47, 4.36,262144
128, 5.99, 3.39, 8.70,262144
256, 9.54, 5.34,13.42,262144
512,76.03, 0.34,157.97,262144
1024,80.74, 0.43,165.33,262144
2048,90.23, 0.53,180.09,262144
4096,118.35, 0.80,223.18,262144
8192,173.17, 1.33,302.93,262144
16384,136.19, 3.86,298.88,262144
32768,253.40,26.13,543.27,262144
65536,503.08,46.08,1220.15,262144
131072, 929.81,68.60,2092.38,262144
262144,1894.48,92.17,4148.21,262144
524288,4092.71,199.98,8289.41,262144
1048576, 9748.90,286.52,16598.73,262144
2097152,22935.89,1042.27,33500.85,262144