size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
1,262144,9.835930519485394e-5,9.836805652618304e-5,9.83675750777127e-5
2,262144,9.844476171111894e-5,9.845516973113773e-5,9.845471211177142e-5
4,262144,9.841773618698212e-5,9.842794272612893e-5,9.84275033973436e-5
8,262144,9.833073728179187e-5,9.834121354294607e-5,9.834073390880249e-5
16,262144,9.844630642318888e-5,9.8456443603526e-5,9.845597214376926e-5
32,262144,0.00010046579475402799,0.00010047608031464865,0.00010047555301691705
64,262144,0.0001130160069350932,0.00011302562251665356,0.00011302509136134417
128,262144,0.00013726070818704552,0.00013727056141661176,0.00013727000416652774
256,262144,0.00014710879451369687,0.00014711856161496526,0.00014711788547118088
512,262144,0.00015217373518367546,0.00015218357017524942,0.00015218293493190124
1024,262144,0.00015917193474571946,0.00015918356693657367,0.00015918286249426154
2048,262144,0.00017396341113662004,0.0001739791818846884,0.0001739783969591393
4096,262144,0.00021376007582471599,0.00021378033740230814,0.00021377922733724613
8192,262144,0.0002863555411567907,0.0002863803469160737,0.0002863783930279674
16384,262144,0.00046816658499131527,0.00046819883814615834,0.00046819412047834443
32768,262144,0.0008988895288808839,0.0008989457566300546,0.0008989409626663653
65536,262144,0.0017760862520447983,0.0017761467497711672,0.0017761417510439627
131072,262144,0.003618030588592218,0.0036182052024649235,0.0036181958522614097
262144,262144,0.007686265872471261,0.007686320335789315,0.007686299706381074
524288,262144,0.012713957228316596,0.012714031724194101,0.01271400037584506
1048576,262144,0.023005487558747872,0.02300559985941736,0.023005548481034987
2097152,262144,0.04558419784673959,0.04558439232078694,0.045584298690218156