# Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations
1,43.13,0.25,100.18,262144
2,39.52,0.25,104.09,262144
4,38.64,0.25,97.81,262144
8,38.56,0.24,97.73,262144
16,38.76,0.24,98.06,262144
32,40.08,0.27,100.17,262144
64,45.10,0.28,112.77,262144
128,65.21,0.43,136.77,262144
256,69.24,0.43,146.60,262144
512,71.76,0.47,150.27,262144
1024,75.66,0.57,156.52,262144
2048,85.84,0.68,171.86,262144
4096,113.81,0.91,215.11,262144
8192,168.49,1.43,294.64,262144
16384,289.26,2.28,484.30,262144
32768,555.87,3.86,935.03,262144
65536,1097.16,6.41,1850.29,262144
131072,2270.69,15.17,3778.78,262144
262144,3472.02,26.61,7816.90,262144
524288,5984.26,55.06,12905.03,262144
1048576,11267.33,116.11,23756.62,262144
2097152,23904.14,288.44,47307.88,262144