size (bytes),iterations,bandwidth (MB/s)
1,262144,1.2437581977845511e-5
2,262144,1.2399762943267832e-5
4,262144,1.2485306989669816e-5
8,262144,1.2470728544231644e-5
16,262144,1.2580009700777404e-5
32,262144,1.2674525379185802e-5
64,262144,1.310843020820879e-5
128,262144,1.3250383895872011e-5
256,262144,1.3929969312671776e-5
512,262144,1.4823620256433661e-5
1024,262144,1.5058234956741567e-5
2048,262144,1.790730393408862e-5
4096,262144,2.309184510802757e-5
8192,262144,3.414521298027585e-5
16384,262144,5.845754517363685e-5
32768,262144,0.00012173101414490647
65536,262144,0.00019989183074189975
131072,262144,0.00038741616616250587
262144,262144,0.0007643310828991049
524288,262144,0.0015177958744392068
1048576,262144,0.0030241825200138625
2097152,262144,0.006032446097095287